period_info,name,party,district
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Αγαπηδάκη Ειρήνη Στυλιανού,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Σκυλακάκης Θεόδωρος Στεφάνου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Στυλιανίδης Χρήστος Μέλη,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Λυτρίβη Ιωάννα Δημητρίου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Σταμάτης Γεώργιος Αναστασίου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Χατζηιωαννίδου Μαρία Νεφέλη Βασιλείου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Πολύζου Μαρία Αθανασίου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Ηλιόπουλος Όθων Σταύρου,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Ακρίτα Έλενα Λουκή,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Αποστολάκης Ευάγγελος Ευαγγέλου,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Τσαπανίδου Παρθένα (Πόπη) Γεωργίου,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Δουδωνής Παναγιώτης Αριστείδη,ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Μάντζος Δημήτριος Σωτηρίου,ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Παφίλης Αθανάσιος Σπυρίδωνα,ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Σαράκης Παύλος Κωνσταντίνου,ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Πιερρακάκης Κυριάκος Στεφάνου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Α' ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Κικίλιας Βασίλειος Παναγιώτη,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Α' ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Κεφαλογιάννη Όλγα Ιωάννη,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Α' ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Πλεύρης Αθανάσιος Κωνσταντίνου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Α' ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Κακλαμάνης Νικήτας Μιχαήλ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Α' ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Συρίγος Ευάγγελος (Άγγελος) Ματθαίου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Α' ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Πιπιλή Φωτεινή Ανδρέα,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Α' ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Ηλιόπουλος Αθανάσιος (Νάσος) Κωνσταντίνου,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,Α' ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Τζανακόπουλος Δημήτριος Μόσχου,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,Α' ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Βούτσης Νικόλαος Γεωργίου,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,Α' ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Γερουλάνος Παύλος Μαρίνου,ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Α' ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Κανέλλη Γαρυφαλλιά (Λιάνα) Χρήστου,ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Α' ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Γραμμένος Βασίλειος Αναστασίου,ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ,Α' ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Χατζηδάκης Κωνσταντίνος (Κωστής) Ιωάννη,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Γεωργιάδης Σπυρίδων - Άδωνις  Αθανασίου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Κεραμέως Νίκη Κωνσταντίνου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Καιρίδης Δημήτριος Κωνσταντίνου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Ράπτη Ζωή Γεωργίου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Ρουσόπουλος  Θεόδωρος (Θόδωρος) Βασιλείου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Παπαθανάσης Νικόλαος (Νίκος) Χρήστου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Κουμουτσάκος Γεώργιος Σπυρίδωνος,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Αγάτσα Αριάδνη (Άρια) Αριστείδη,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Λινού Αθηνά Κωνσταντίνου,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Τσακαλώτος Ευκλείδης  Στέφανου,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Ξενογιαννακοπούλου Μαρία Ελίζα (Μαριλίζα) Διονυσίου,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Αποστολάκη  Ελένη - Μαρία (Μιλένα) Γεωργίου,ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Κτενά Αφροδίτη Θεοφύλακτου,ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Ρίτσου Ελευθερία (Έρη) Ιωάννη,ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Βιλιάρδος Βασίλειος Διονυσίου,ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Χρυσοχοΐδης Μιχαήλ  Βασιλείου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Βαρβιτσιώτης  Μιλτιάδης  Ιωάννη,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Λοβέρδος Ιωάννης - Μιχαήλ (Γιάννης) Πέτρου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Συρεγγέλα Μαρία Κωνσταντίνου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Καλογερόπουλος Δημήτριος Ιωάννη,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Αχτσιόγλου Ευτυχία (Έφη) Θεμιστοκλή,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Δούρου Ειρήνη (Ρένα) Αθανασίου,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Δραγασάκης  Ιωάννης Ανδρέα,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Γιαννακοπούλου Κωνσταντίνα (Νάντια) Ιωάννη,ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Δάγκα Παρασκευή (Βιβή) Αθανασίου,ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Πέρρος Γεώργιος Εμμανουήλ,ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Αθανασίου Μαρία Ευαγγέλου,ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ,Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Δένδιας  Νικόλαος - Γεώργιος  Σπυρίδωνα,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Θεοδωρικάκος Παναγιώτης (Τάκης) Δημητρίου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Κυρανάκης Κωνσταντίνος Ιωάννη - Παναγιώτη,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Σπανάκης Βασίλειος - Πέτρος Νικολάου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Χατζηδάκης Διονύσιος Διονυσίου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Θεοχάρης Θεοχάρης (Χάρης) Αθανασίου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Καλλιάνος Ιωάννης Δημητρίου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Καραμανλή Άννα  Αρκαδίου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Βούλτεψη  Σοφία  Ιωάννη,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Γαϊτάνης Αναστάσιος (Τάσος) Δημητρίου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Γκελεστάθη Ιωάννα Νικολάου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Παππάς Νικόλαος Στυλιανού,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Χρηστίδου Ραλλία Δημητρίου,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Φωτίου  Θεανώ Βασιλείου,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Μουζάλας Ιωάννης Ευστρατίου,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Χρηστίδης Παύλος Δημητρίου,ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Διγενή Ασημίνα (Σεμίνα) Αναστασίου,ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Κατσώτης Χρήστος Περικλή,ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Αγιοστρατίδου Νίκη Χρήστου,ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Κατσαφάδος Κωνσταντίνος Ιωάννη,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Α' ΠΕΙΡΑΙΩΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Μιχαηλίδου Δόμνα-Μαρία Αριστείδη,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Α' ΠΕΙΡΑΙΩΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Βλαχάκος Νικόλαος Αντωνίου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Α' ΠΕΙΡΑΙΩΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Τσίπρας Αλέξιος Παύλου,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,Α' ΠΕΙΡΑΙΩΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Αμπατιέλος Νικόλαος Γερασίμου,ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Α' ΠΕΙΡΑΙΩΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Βρεττάκος Γεώργιος Δρακούλη,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Β' ΠΕΙΡΑΙΩΣ
